name,lr,gamma,batch_size,buffer_size,eps_start,eps_end,eps_fraction,net_arch,algorithm,mean_reward,std_reward,training_time_s
dqn_baseline,0.0001,0.99,64,50000,1.0,0.05,0.3,"[128, 128]",DQN,7.425,22.84363970561609,74.91837739944458
dqn_high_lr,0.0005,0.99,64,50000,1.0,0.05,0.3,"[128, 128]",DQN,-4.0,19.570385790780925,72.9753532409668
dqn_low_lr,1e-05,0.99,64,50000,1.0,0.05,0.3,"[128, 128]",DQN,-13.5,2.39269722280108,73.0032091140747
dqn_low_gamma,0.0001,0.9,64,50000,1.0,0.05,0.3,"[128, 128]",DQN,-3.5,18.68354891341578,73.03711152076721
dqn_high_gamma,0.0001,0.999,64,50000,1.0,0.05,0.3,"[128, 128]",DQN,9.3,24.56847573619495,73.2218325138092
dqn_small_batch,0.0001,0.99,32,50000,1.0,0.05,0.3,"[128, 128]",DQN,1.9,21.248294049170163,72.93024349212646
dqn_large_batch,0.0001,0.99,128,50000,1.0,0.05,0.3,"[128, 128]",DQN,4.6,24.952755358877702,73.69755625724792
dqn_small_buffer,0.0001,0.99,64,10000,1.0,0.05,0.3,"[128, 128]",DQN,11.975,23.5438288092655,73.09604334831238
dqn_slow_explore,0.0001,0.99,64,50000,1.0,0.01,0.5,"[128, 128]",DQN,2.375,19.658887939046807,71.85705327987671
dqn_fast_explore,0.0001,0.99,64,50000,1.0,0.1,0.1,"[128, 128]",DQN,8.2,18.06543661249293,74.24166703224182
dqn_deep_net,0.0001,0.99,64,50000,1.0,0.05,0.3,"[256, 256, 128]",DQN,7.275,22.55297929321091,79.65148329734802
dqn_wide_net,0.0001,0.99,64,50000,1.0,0.05,0.3,"[512, 256]",DQN,6.2,18.478636313321395,73.3399076461792
