name,lr,gamma,n_steps,batch_size,n_epochs,clip_range,ent_coef,vf_coef,net_arch,algorithm,mean_reward,std_reward,training_time_s
ppo_baseline,0.0003,0.99,256,64,10,0.2,0.01,0.5,"[128, 128]",PPO,11.35,26.788570323927328,128.55216598510742
ppo_high_lr,0.001,0.99,256,64,10,0.2,0.01,0.5,"[128, 128]",PPO,13.9,21.36562659975129,127.92217016220093
ppo_low_lr,1e-05,0.99,256,64,10,0.2,0.01,0.5,"[128, 128]",PPO,-14.05,3.747999466382032,127.51956748962402
ppo_low_gamma,0.0003,0.9,256,64,10,0.2,0.01,0.5,"[128, 128]",PPO,5.25,23.83458621415526,127.71229124069214
ppo_wide_clip,0.0003,0.99,256,64,10,0.3,0.01,0.5,"[128, 128]",PPO,1.55,24.284717416515267,127.9238646030426
ppo_narrow_clip,0.0003,0.99,256,64,10,0.1,0.01,0.5,"[128, 128]",PPO,-1.65,18.955935745829063,127.99986910820007
ppo_high_entropy,0.0003,0.99,256,64,10,0.2,0.05,0.5,"[128, 128]",PPO,12.9,23.899581586295604,127.72070670127869
ppo_no_entropy,0.0003,0.99,256,64,10,0.2,0.0,0.5,"[128, 128]",PPO,8.25,26.89772295195264,127.4061508178711
ppo_long_rollout,0.0003,0.99,512,64,10,0.2,0.01,0.5,"[128, 128]",PPO,13.8,24.496122142086083,127.13920497894287
ppo_deep_net,0.0003,0.99,256,64,10,0.2,0.01,0.5,"[256, 256, 128]",PPO,14.3,22.737853900489377,137.24434518814087
ppo_few_epochs,0.0003,0.99,256,64,3,0.2,0.01,0.5,"[128, 128]",PPO,-12.25,4.526311964502668,101.90157532691956
ppo_large_batch,0.0003,0.99,256,128,10,0.2,0.01,0.5,"[128, 128]",PPO,4.65,24.20593935380323,110.04222393035889
