name,algorithm,lr,gamma,hidden_sizes,use_baseline,mean_reward,std_reward,best_eval_reward,training_time_s
reinforce_baseline,REINFORCE,0.001,0.99,"(128, 128)",True,-11.45,8.974825903603925,-10.5,14.943492650985718
reinforce_no_baseline,REINFORCE,0.001,0.99,"(128, 128)",False,-12.2,8.4829240241794,-8.3,14.93830418586731
reinforce_high_lr,REINFORCE,0.005,0.99,"(128, 128)",True,-14.0,3.946517452134223,-12.2,15.121000528335571
reinforce_low_lr,REINFORCE,0.0001,0.99,"(128, 128)",True,-11.95,7.324445371494008,-3.1,15.365414381027222
reinforce_low_gamma,REINFORCE,0.001,0.9,"(128, 128)",True,-7.85,15.271787714606303,-4.8,14.87663745880127
reinforce_high_gamma,REINFORCE,0.001,0.999,"(128, 128)",True,-11.2,7.756287771866127,-6.7,15.16311764717102
reinforce_small_net,REINFORCE,0.001,0.99,"(64, 64)",True,-9.8,12.023310692151307,-4.9,15.057880163192749
reinforce_deep_net,REINFORCE,0.001,0.99,"(256, 256, 128)",True,-11.1,10.70467187726929,-12.8,16.52278733253479
reinforce_wide_net,REINFORCE,0.001,0.99,"(512, 256)",True,-12.0,7.707139547199077,-10.9,15.439518213272095
reinforce_tiny_net,REINFORCE,0.001,0.99,"(32, 32)",True,-14.075,3.0177599308096066,-10.9,14.787805080413818
reinforce_med_lr_no_bl,REINFORCE,0.0005,0.99,"(128, 128)",False,-13.85,2.650943228362313,-12.3,14.979252099990845
reinforce_tuned,REINFORCE,0.0003,0.995,"(256, 128)",True,-10.8,13.223463993976766,-9.5,15.369426012039185
